gene_name,gene_type
ARFGAP3,B cells
ATP2A3,B cells
ATXN1,B cells
BLK,B cells
CASP10,B cells
CCDC69,B cells
CCPG1,B cells
CD27,B cells
CD38,B cells
CD79A,B cells
CD79B,B cells
CDK14,B cells
CDK5RAP3,B cells
CDKN1B,B cells
CDV3,B cells
CHPF,B cells
CHST15,B cells
CLPTM1L,B cells
CPEB4,B cells
CPNE5,B cells
CREB3L2,B cells
CRELD2,B cells
CSF2RB,B cells
CYBC1,B cells
DENND5B,B cells
DERL1,B cells
DERL3,B cells
DNAJB11,B cells
DNAJB9,B cells
DNAJC1,B cells
DNAJC3,B cells
DUSP22,B cells
DUSP5,B cells
EAF2,B cells
EDEM1,B cells
EDEM3,B cells
EIF2AK3,B cells
ELL2,B cells
EMP3,B cells
ERLEC1,B cells
ERN1,B cells
EVI2B,B cells
FAM214A,B cells
FAM30A,B cells
FAM3C,B cells
FBXW7,B cells
FCRL2,B cells
FCRL5,B cells
FKBP11,B cells
FNDC3A,B cells
FNDC3B,B cells
FUT8,B cells
GLCCI1,B cells
GMPPB,B cells
GNG7,B cells
GPR15,B cells
H1FX,B cells
HDLBP,B cells
HERPUD1,B cells
HIPK2,B cells
HM13,B cells
HSH2D,B cells
HSP90B1,B cells
HSPA13,B cells
HYOU1,B cells
ICAM3,B cells
IFNAR2,B cells
IGHA1,B cells
IGHA2,B cells
IGHG1,B cells
IGHM,B cells
IGKC,B cells
IGLC1,B cells
IRF4,B cells
ISG20,B cells
ITGB7,B cells
JCHAIN,B cells
KCNA3,B cells
KCNN3,B cells
KLHL6,B cells
KRTCAP2,B cells
LAX1,B cells
LMAN1,B cells
LMAN2,B cells
MAN1A1,B cells
MANEA,B cells
MANF,B cells
MAPKAPK2,B cells
MEF2C,B cells
METTL7A,B cells
MGAT2,B cells
MS4A1,B cells
MYDGF,B cells
MZB1,B cells
NCOA3,B cells
NUCB2,B cells
NUGGC,B cells
ORAI2,B cells
OS9,B cells
P2RX5,B cells
PCMTD1,B cells
PDIA6,B cells
PDK1,B cells
PIM2,B cells
PLCG2,B cells
PLPP5,B cells
POU2AF1,B cells
POU2F2,B cells
PPIB,B cells
PRDM1,B cells
PRDX4,B cells
PRKCB,B cells
PTK2B,B cells
RAB30,B cells
RABAC1,B cells
RALGPS2,B cells
RHOH,B cells
RPN1,B cells
RUNX2,B cells
SDC1,B cells
